,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - head and neck,VCA - upper limb,VCA - uterus
All Regions,All Center States,,"109,402","95,156","8,800",831,"2,386","4,045","1,028",29,168,1,2,2,4
,Alabama,,"1,215",984,204,2,21,23,11,0,0,0,0,0,2
,Arizona,,"2,442","2,132",220,2,42,67,16,0,0,0,0,0,0
,Arkansas,,429,375,22,0,7,28,0,0,0,0,0,0,0
,California,,"19,875","17,831","1,415",100,381,356,102,4,38,0,0,0,0
,Colorado,,"1,492","1,295",155,13,12,52,5,0,0,0,0,0,0
,Connecticut,,"1,181","1,007",147,2,0,42,0,0,0,0,1,0,0
,Delaware,,146,138,4,0,0,4,0,0,0,0,0,0,0
,District of Columbia,,"1,385","1,128",201,17,26,51,0,0,14,0,0,0,0
,Florida,,"6,292","5,400",536,26,111,311,44,2,14,0,0,0,0
,Georgia,,"3,323","3,000",196,1,41,157,5,0,0,0,0,0,0
,Hawaii,,366,337,29,0,5,0,0,0,0,0,0,0,0
,Illinois,,"4,499","3,907",211,80,162,210,42,0,12,0,0,0,0
,Indiana,,"1,467","1,263",111,10,42,92,6,0,15,0,0,0,0
,Iowa,,606,546,18,3,24,18,6,0,0,0,0,0,0
,Kansas,,528,389,121,1,26,20,0,0,0,0,0,0,0
,Kentucky,,"1,004",842,97,0,18,43,16,0,0,0,0,0,0
,Louisiana,,"2,032","1,772",166,4,68,46,4,0,0,0,0,0,0
,Maine,,221,221,0,0,0,0,0,0,0,0,0,0,0
,Maryland,,"2,072","1,673",362,6,38,31,34,0,0,0,0,1,0
,Massachusetts,,"3,997","3,518",309,28,40,140,36,0,1,0,0,0,0
,Michigan,,"2,607","2,312",101,24,35,119,82,1,2,0,0,0,0
,Minnesota,,"2,314","1,937",181,75,186,120,35,1,0,0,0,0,0
,Mississippi,,551,497,41,0,11,11,0,0,0,0,0,0,0
,Missouri,,"2,184","1,929",135,0,52,72,19,0,0,0,0,0,0
,Nebraska,,460,358,54,8,2,51,3,0,9,0,0,0,0
,Nevada,,415,414,0,0,21,0,0,0,0,0,0,0,0
,New Hampshire,,257,257,0,0,0,0,0,0,0,0,0,0,0
,New Jersey,,"2,509","2,330",88,16,53,40,4,0,0,0,0,0,0
,New Mexico,,446,442,0,0,6,0,0,0,0,0,0,0,0
,New York,,"8,040","7,017",544,129,129,347,101,3,12,0,1,0,0
,North Carolina,,"3,910","3,607",100,75,113,164,14,3,3,1,0,0,0
,North Dakota,,134,134,0,0,0,0,0,0,0,0,0,0,0
,Ohio,,"2,741","2,177",233,28,58,274,79,6,17,0,0,1,1
,Oklahoma,,788,655,84,0,16,34,13,0,0,0,0,0,0
,Oregon,,"1,280","1,154",87,3,24,28,0,0,0,0,0,0,0
,Pennsylvania,,"5,687","4,928",451,61,131,165,130,4,34,0,0,0,0
,Puerto Rico,,463,433,26,0,31,6,0,0,0,0,0,0,0
,Rhode Island,,385,385,0,0,0,0,0,0,0,0,0,0,0
,South Carolina,,"1,987","1,740",122,13,91,87,6,0,0,0,0,0,0
,South Dakota,,403,399,0,3,33,0,0,0,0,0,0,0,0
,Tennessee,,"3,007","2,743",131,12,52,121,11,0,0,0,0,0,0
,
,Texas,,"11,287","9,533","1,344",26,122,419,97,3,0,0,0,0,1
,Utah,,"1,012",860,57,3,26,71,8,0,0,0,0,0,0
,Virginia,,"3,383","2,926",277,40,92,135,35,2,0,0,0,0,0
,Washington,,"1,641","1,353",178,10,40,46,46,0,0,0,0,0,0
,West Virginia,,177,170,0,0,0,7,0,0,0,0,0,0,0
,Wisconsin,,"1,533","1,294",116,16,58,74,22,0,0,0,0,0,0
Region  1,All Center States,,"5,977","5,325",456,30,40,181,36,0,1,0,1,0,0
,Connecticut,,"1,181","1,007",147,2,0,42,0,0,0,0,1,0,0
,Maine,,221,221,0,0,0,0,0,0,0,0,0,0,0
,Massachusetts,,"3,997","3,518",309,28,40,140,36,0,1,0,0,0,0
,New Hampshire,,257,257,0,0,0,0,0,0,0,0,0,0,0
,Rhode Island,,385,385,0,0,0,0,0,0,0,0,0,0,0
Region  2,All Center States,,"12,258","10,608","1,100",126,264,338,185,6,48,0,0,1,0
,Delaware,,146,138,4,0,0,4,0,0,0,0,0,0,0
,District of Columbia,,"1,385","1,128",201,17,26,51,0,0,14,0,0,0,0
,Maryland,,"2,072","1,673",362,6,38,31,34,0,0,0,0,1,0
,New Jersey,,"2,509","2,330",88,16,53,40,4,0,0,0,0,0,0
,Pennsylvania,,"5,687","4,928",451,61,131,165,130,4,34,0,0,0,0
,Virginia,,705,651,0,26,23,40,18,2,0,0,0,0,0
,West Virginia,,177,170,0,0,0,7,0,0,0,0,0,0,0
Region  3,All Center States,,"13,841","12,013","1,185",33,281,582,64,2,14,0,0,0,2
,Alabama,,"1,215",984,204,2,21,23,11,0,0,0,0,0,2
,Arkansas,,429,375,22,0,7,28,0,0,0,0,0,0,0
,Florida,,"6,292","5,400",536,26,111,311,44,2,14,0,0,0,0
,Georgia,,"3,323","3,000",196,1,41,157,5,0,0,0,0,0,0
,Louisiana,,"2,032","1,772",166,4,68,46,4,0,0,0,0,0,0
,Mississippi,,551,497,41,0,11,11,0,0,0,0,0,0,0
,Puerto Rico,,463,433,26,0,31,6,0,0,0,0,0,0,0
Region  4,All Center States,,"12,048","10,164","1,427",26,137,453,110,3,0,0,0,0,1
,Oklahoma,,788,655,84,0,16,34,13,0,0,0,0,0,0
,Texas,,"11,287","9,533","1,344",26,122,419,97,3,0,0,0,0,1
Region  5,All Center States,,"23,823","21,324","1,687",105,472,493,126,4,38,0,0,0,0
,Arizona,,"2,442","2,132",220,2,42,67,16,0,0,0,0,0,0
,California,,"19,875","17,831","1,415",100,381,356,102,4,38,0,0,0,0
,Nevada,,415,414,0,0,21,0,0,0,0,0,0,0,0
,New Mexico,,446,442,0,0,6,0,0,0,0,0,0,0,0
,Utah,,"1,012",860,57,3,26,71,8,0,0,0,0,0,0
Region  6,All Center States,,"3,270","2,831",291,13,68,74,46,0,0,0,0,0,0
,Hawaii,,366,337,29,0,5,0,0,0,0,0,0,0,0
,Oregon,,"1,280","1,154",87,3,24,28,0,0,0,0,0,0,0
,Washington,,"1,641","1,353",178,10,40,46,46,0,0,0,0,0,0
,
Region  7,All Center States,,"8,738","7,533",507,173,437,402,99,1,12,0,0,0,0
,Illinois,,"4,499","3,907",211,80,162,210,42,0,12,0,0,0,0
,Minnesota,,"2,314","1,937",181,75,186,120,35,1,0,0,0,0,0
,North Dakota,,134,134,0,0,0,0,0,0,0,0,0,0,0
,South Dakota,,403,399,0,3,33,0,0,0,0,0,0,0,0
,Wisconsin,,"1,533","1,294",116,16,58,74,22,0,0,0,0,0,0
Region  8,All Center States,,"5,221","4,468",482,25,116,213,33,0,9,0,0,0,0
,Colorado,,"1,492","1,295",155,13,12,52,5,0,0,0,0,0,0
,Iowa,,606,546,18,3,24,18,6,0,0,0,0,0,0
,Kansas,,528,389,121,1,26,20,0,0,0,0,0,0,0
,Missouri,,"2,184","1,929",135,0,52,72,19,0,0,0,0,0,0
,Nebraska,,460,358,54,8,2,51,3,0,9,0,0,0,0
Region  9,All Center States,,"8,040","7,017",544,129,129,347,101,3,12,0,1,0,0
,New York,,"8,040","7,017",544,129,129,347,101,3,12,0,1,0,0
Region  10,All Center States,,"6,177","5,222",406,48,125,431,159,5,29,0,0,1,1
,Indiana,,"1,467","1,263",111,10,42,92,6,0,15,0,0,0,0
,Michigan,,"2,607","2,312",101,24,35,119,82,1,2,0,0,0,0
,Ohio,,"2,158","1,701",194,14,49,220,71,4,12,0,0,1,1
Region  11,All Center States,,"12,804","11,335",762,127,346,557,72,5,8,1,0,0,0
,Kentucky,,"1,004",842,97,0,18,43,16,0,0,0,0,0,0
,North Carolina,,"3,910","3,607",100,75,113,164,14,3,3,1,0,0,0
,Ohio,,619,511,39,14,9,54,8,2,5,0,0,0,0
,South Carolina,,"1,987","1,740",122,13,91,87,6,0,0,0,0,0,0
,Tennessee,,"3,007","2,743",131,12,52,121,11,0,0,0,0,0,0
,Virginia,,"2,717","2,314",277,14,69,95,17,0,0,0,0,0,0
