Section 1- User Inputs,,,,,,,
,Variable,User_Input,Notes,Comments,,,
,Player_Type,Adult,dropdown,,,,
,Rounds_18_Per_Year,30,integer,,,,
,Rounds_09_Per_Year,0,integer,,,,
,Rounds_18_Equivalent,30,,,,,
,Cart_Usage,50%,%,,,,
,Weekdays,0%,%,Not relevant for PPD but will be for Weaver (maybe others)…perhaps Day of Week instead?,,,
,Weekends,100%,%,Not relevant for PPD but will be for Weaver (maybe others)…perhaps Day of Week instead?,,,
,Twilight_Usage,0%,%,,,,
,Season_Weeks,35,,Estimate March 15 to Nov 15…consider widening or condesning?,,,
,Discount_Card,FALSE,yes/no,,,,
,,,,,,,
,,,,,,,
Section 2 -Play Mix.  &   Section 3 - Base Round Cost,,,,,,,
,layout_id,play_share,green_fee,cart_fee,expected_round_cost,cart_lookup_key,
,KEL_Exec_09,,24,12,30,KEL_Exec_09|CART,
,KEL_18_Holes,0,42,17,50.5,KEL_18_Holes|CART,
,KEL_Front_09,,30,12,36,KEL_Front_09|CART,
,KEL_Back_09,,30,12,36,KEL_Back_09|CART,
,MAD_18,0,26,17,34.5,MAD_18|CART,
,MAD_Front_09,,20,12,26,MAD_Front_09|CART,
,MAD_Back_09,,20,12,26,MAD_Back_09|CART,
,NEW_18,0.3,35,17,43.5,NEW_18|CART,
,NEW_Front_09,0.35,27,12,33,NEW_Front_09|CART,
,NEW_Back_09,0.35,27,12,33,NEW_Back_09|CART,
,Total,1,,,,,
,,,,,,,
,,36.15,Expected Cost Per Round for the user’s play mix,,,,
,,1085,Annual pay-as-you-go:,,,,
,,17,Average Cart Price 18,,,,
,,12,Average Cart Price 09,,,,
,,13.5,Average Cart Price combined,,,,
Section 4 - Strategy Table ,,,,,,,
,Strategy,Annual_Fee,Marginal_Round_Cost,Annual_Total,Comment,,
,Pay As You Go,0,1085,1085,,,
,Discount Card,0,33,986,,,
,Courses Only,975,255,1230,"FUTURE FIX: These Fees shouldn't be hardcoded rather  look up ""Adult"" (or Senior) on membership plans sheet ",,
,Courses Only: Partner To Play,675,255,930,"FUTURE FIX: These Fees shouldn't be hardcoded rather  look up ""Adult"" (or Senior) on membership plans sheet ",,
,All Inclusive,2300,0,2300,,,
,,,,,,,
,,,Courses Only: Partner To Play,930,,,
,,,,,,,
,,,,,,,
Section 5 - Break Even Analysis,,,,,,,
,Strategy,Membership Fee,Marginal Cost,BreakEven_Rounds,Plays Per Month,Plays Per Week,Comments
,Courses Only: Partner To Play,675,6.75,23.0,2.6,0.7,
,Courses Only,975,6.75,33.2,3.8,0.9,
,All Inclusive,2300,0,63.6,7.3,1.8,FUTURE FIX: These include unlimited Range balls so economics are differentnn
,,,,,,,
,,,Expected Rounds,30,3.4,0.9,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,6.75,CartOnlyCost,,,,